data;TSM Niño 1+2;TSM Niño 1+2 anom;TSM Niño 3;TSM Niño 3 anom;TSM Niño 3.4;TSM Niño 3.4 anom;TSM Niño 4;TSM Niño 4 anom;TSM CBM;TSM CBM anom;TSM TNA;TSM TNA anom;TSM TSA;TSM TSA anom
2020-01-01;24.51;0.05;25.8;0.15;27.02;0.48;27.66;0.67;19.02;-0.02;24.87;0.15;26.68;1.19
2020-02-01;26.25;0.41;26.4;0.04;27.02;0.28;27.55;0.57;19.72;0.04;24.65;0.42;27.23;0.87
2020-03-01;26.94;0.73;27.29;0.25;27.66;0.5;28.0;0.73;20.08;0.84;24.77;0.59;27.69;0.86
2020-04-01;25.77;0.4;27.92;0.59;28.18;0.55;28.21;0.49;18.88;1.28;25.14;0.65;27.51;0.77
2020-05-01;24.22;-0.03;26.99;-0.04;27.59;-0.13;27.95;-0.0;16.35;0.76;25.51;0.48;26.84;0.87
2020-06-01;22.25;-0.76;25.95;-0.42;27.37;-0.11;28.05;0.17;14.11;0.55;26.4;0.7;25.36;0.52
2020-07-01;20.84;-1.0;25.34;-0.27;27.09;-0.01;27.8;0.13;13.04;0.75;26.84;0.59;24.08;0.33
2020-08-01;20.21;-0.69;24.67;-0.37;26.27;-0.48;26.89;-0.56;12.02;0.11;27.32;0.55;23.53;0.43
2020-09-01;19.96;-0.64;24.07;-0.8;26.03;-0.62;26.67;-0.73;12.78;0.53;27.73;0.56;23.15;0.14
2020-10-01;20.3;-0.68;24.07;-0.84;25.53;-1.06;26.2;-1.1;13.93;0.51;27.79;0.63;23.5;0.18
2020-11-01;21.08;-0.63;24.05;-0.93;25.5;-1.04;26.43;-0.76;16.05;0.89;27.2;0.58;23.96;0.06
2020-12-01;22.02;-0.86;24.46;-0.69;25.56;-0.93;26.04;-1.02;17.46;0.25;26.22;0.54;24.51;-0.1
2021-01-01;23.76;-0.71;25.09;-0.57;25.57;-0.98;25.73;-1.26;19.3;0.25;25.27;0.55;25.58;0.08
2021-02-01;25.45;-0.39;25.58;-0.78;25.78;-0.95;25.9;-1.09;20.11;0.42;24.58;0.35;26.4;0.04
2021-03-01;26.06;-0.14;26.63;-0.4;26.63;-0.53;26.78;-0.49;20.11;0.86;24.38;0.19;26.88;0.05
2021-04-01;24.39;-0.98;26.75;-0.58;27.19;-0.44;27.41;-0.31;19.09;1.49;24.81;0.33;27.14;0.4
2021-05-01;23.66;-0.6;26.7;-0.32;27.52;-0.2;27.83;-0.13;16.53;0.94;25.25;0.22;26.79;0.82
2021-06-01;23.17;0.15;26.49;0.12;27.64;0.16;28.07;0.19;13.65;0.1;25.84;0.14;25.65;0.82
2021-07-01;22.18;0.33;25.68;0.07;27.05;-0.04;27.54;-0.13;12.93;0.64;26.49;0.24;24.71;0.96
2021-08-01;20.95;0.04;24.9;-0.13;26.54;-0.21;27.4;-0.05;12.2;0.28;27.12;0.34;24.03;0.93
2021-09-01;20.93;0.32;24.73;-0.14;26.43;-0.23;27.14;-0.26;12.63;0.37;27.83;0.66;23.67;0.66
2021-10-01;20.71;-0.27;24.41;-0.5;25.9;-0.7;26.69;-0.61;14.19;0.77;27.75;0.59;24.05;0.72
2021-11-01;20.89;-0.82;24.3;-0.68;25.88;-0.65;26.71;-0.48;16.37;1.22;27.28;0.66;24.5;0.6
2021-12-01;21.37;-1.52;23.93;-1.22;25.51;-0.98;26.15;-0.91;18.66;1.44;26.16;0.48;24.85;0.24
2022-01-01;23.86;-0.6;24.39;-1.27;25.65;-0.89;26.27;-0.72;21.23;2.18;25.37;0.65;26.04;0.55
2022-02-01;24.63;-1.21;25.23;-1.13;25.95;-0.79;26.46;-0.53;21.16;1.47;24.89;0.67;27.16;0.81
2022-03-01;25.91;-0.29;26.44;-0.59;26.28;-0.88;26.31;-0.97;18.92;-0.32;24.22;0.03;27.47;0.63
2022-04-01;24.21;-1.15;26.64;-0.69;26.78;-0.85;26.87;-0.86;17.38;-0.22;24.55;0.06;27.24;0.51
2022-05-01;23.27;-0.98;26.24;-0.78;26.78;-0.95;27.0;-0.95;15.81;0.23;25.45;0.42;26.35;0.37
2022-06-01;21.77;-1.24;25.96;-0.41;27.01;-0.48;27.37;-0.5;14.16;0.61;26.18;0.48;25.39;0.55
2022-07-01;20.77;-1.07;25.42;-0.2;26.6;-0.49;26.99;-0.68;11.87;-0.42;26.59;0.34;23.95;0.2
2022-08-01;20.47;-0.43;24.6;-0.43;25.86;-0.9;26.36;-1.09;11.61;-0.31;27.23;0.45;23.34;0.24
2022-09-01;19.81;-0.78;24.09;-0.78;25.75;-0.9;26.5;-0.9;12.12;-0.11;27.78;0.61;23.2;0.2
